# lambda	flux
 2570.65 639.999
 2571.24 794.054
 2571.84 332.587
 2572.44 258.029
 2573.04 301.704
 2573.65 265.121
 2574.24 220.34
 2574.84 338.231
 2575.44 140.915
 2576.04 28.8184
 2576.65 53.2682
 2577.24 83.7236
 2577.84 297.231
 2578.44 288.977
 2579.04 714.417
 2579.65 234.91
 2580.24 349.916
 2580.84 236.605
 2581.44 315.445
 2582.04 928.395
 2582.65 895.984
 2583.24 287.776
 2583.84 653.663
 2584.44 401.947
 2585.04 152.897
 2585.65 292.927
 2586.24 339.748
 2586.84 472.209
 2587.44 634.032
 2588.04 586.96
 2588.65 182.547
 2589.24 241.35
 2589.84 378.029
 2590.44 1523.38
 2591.04 227.476
 2591.65 223.561
 2592.24 396.095
 2592.84 91.7645
 2593.44 331.012
 2594.04 318.676
 2594.65 63.2083
 2595.24 81.9657
 2595.84 705.064
 2596.44 948.531
 2597.04 621.923
 2597.65 670.914
 2598.24 1306.51
 2598.84 578.358
 2599.44 874.072
 2600.04 193.413
 2600.65 234.448
 2601.24 225.817
 2601.84 374.928
 2602.44 294.666
 2603.04 733.749
 2603.65 347.927
 2604.24 379.381
 2604.84 645.878
 2605.44 447.932
 2606.04 95.2623
 2606.65 570.233
 2607.24 585.517
 2607.84 296.792
 2608.44 1411.94
 2609.04 624.091
 2609.65 84.7216
 2610.24 723.828
 2610.84 232.071
 2611.44 65.53
 2612.04 55.5342
 2612.65 495.919
 2613.24 208.079
 2613.84 97.3121
 2614.44 99.9396
 2615.04 697.104
 2615.65 392.497
 2616.24 320.356
 2616.84 348.764
 2617.44 986.512
 2618.04 1492.72
 2618.65 91.7248
 2619.24 198.376
 2619.84 124.931
 2620.44 900.881
 2621.04 578.362
 2621.65 895.864
 2622.24 802.142
 2622.84 483.652
 2623.44 851.765
 2624.04 77.6588
 2624.65 214.391
 2625.24 841.83
 2625.84 1309.53
 2626.44 274.919
 2627.04 140.371
 2627.65 1161.87
 2628.24 144.512
