# lk ukf_m0iii uks_m0iii fh fk fm
# iRMS=0.01722689532 0
# 
5231.46 0.793896 0.037258 0.785254 0.000000 0.884209
5236.46 0.943292 0.033746 0.820031 0.000000 1.163593
5241.46 0.976398 0.031722 0.840081 0.000000 1.213161
5246.46 0.786359 0.012066 0.797449 0.000000 0.856164
5251.46 0.762665 0.017104 0.763488 0.000000 0.840301
5256.46 0.890976 0.027040 0.799014 0.000000 1.074596
5261.46 0.887529 0.047918 0.802939 0.000000 1.063423
5266.47 0.706581 0.023354 0.724800 0.000000 0.761051
5271.47 0.614219 0.045280 0.705009 0.000000 0.586617
5276.47 0.869200 0.053569 0.788133 0.000000 1.039686
5281.47 1.054336 0.042101 0.877803 0.000000 1.339332
5286.47 0.953314 0.056861 0.927946 0.000000 1.076753
5291.47 0.920201 0.054397 0.942609 0.000000 0.992458
