# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
4386.23 0.459338 0.023669 0.460564 0.000000 0.000000 0.679342
4391.23 0.583457 0.034638 0.476963 0.000000 0.000000 0.970962
4396.23 0.677428 0.039857 0.479619 0.000000 0.000000 1.201505
4401.24 0.460673 0.034301 0.467234 0.000000 0.000000 0.675985
4406.24 0.349374 0.029152 0.458733 0.000000 0.000000 0.408284
4411.24 0.556479 0.033077 0.489682 0.000000 0.000000 0.891292
4416.24 0.821893 0.044240 0.514501 0.000000 0.000000 1.525134
4421.24 0.871171 0.041983 0.506280 0.000000 0.000000 1.655643
4426.24 0.602966 0.039720 0.465873 0.000000 0.000000 1.030465
4431.24 0.391388 0.034769 0.442901 0.000000 0.000000 0.528378
4436.25 0.396734 0.033395 0.440884 0.000000 0.000000 0.543664
4441.25 0.501954 0.034438 0.463798 0.000000 0.000000 0.781866
4446.25 0.592920 0.043374 0.495518 0.000000 0.000000 0.975891
4451.25 0.591726 0.047256 0.504983 0.000000 0.000000 0.963461
4456.25 0.488685 0.033180 0.469159 0.000000 0.000000 0.743576
4461.25 0.370824 0.023344 0.426790 0.000000 0.000000 0.493459
4466.25 0.345417 0.031475 0.411823 0.000000 0.000000 0.445375
4471.25 0.457372 0.033160 0.431034 0.000000 0.000000 0.703993
4476.26 0.649220 0.030405 0.469179 0.000000 0.000000 1.141944
4481.26 0.754343 0.036728 0.491897 0.000000 0.000000 1.380102
4486.26 0.772640 0.035959 0.503654 0.000000 0.000000 1.413753
4491.26 0.761856 0.034559 0.511703 0.000000 0.000000 1.378942
4496.26 0.675040 0.039905 0.522321 0.000000 0.000000 1.152878
4501.26 0.566659 0.037756 0.526862 0.000000 0.000000 0.879375
4506.26 0.567400 0.031326 0.505658 0.000000 0.000000 0.902420
4511.27 0.577424 0.028494 0.487802 0.000000 0.000000 0.945149
4516.27 0.502825 0.030825 0.505026 0.000000 0.000000 0.742799
4521.27 0.464289 0.031529 0.518069 0.000000 0.000000 0.634123
4526.27 0.440437 0.015417 0.491137 0.000000 0.000000 0.601863
4531.27 0.337053 0.021214 0.472843 0.000000 0.000000 0.363598
4536.27 0.475219 0.016867 0.507711 0.000000 0.000000 0.671606
4541.27 0.835062 0.039133 0.545491 0.000000 0.000000 1.526824
4546.27 0.729951 0.027728 0.526255 0.000000 0.000000 1.285213
4551.28 0.435511 0.026671 0.501241 0.000000 0.000000 0.579536
4556.28 0.515453 0.024879 0.538361 0.000000 0.000000 0.740803
4561.28 0.613425 0.041206 0.599341 0.000000 0.000000 0.922954
4566.28 0.589250 0.052835 0.645085 0.000000 0.000000 0.817216
4571.28 0.639124 0.056900 0.664824 0.000000 0.000000 0.921244
4576.28 0.662254 0.056377 0.647669 0.000000 0.000000 0.995800
4581.28 0.551691 0.049510 0.578303 0.000000 0.000000 0.790789
4586.28 0.389819 0.040257 0.473817 0.000000 0.000000 0.493568
4591.29 0.343057 0.037444 0.413018 0.000000 0.000000 0.438323
4596.29 0.480692 0.036884 0.420049 0.000000 0.000000 0.772850
4601.29 0.560354 0.033458 0.460393 0.000000 0.000000 0.930197
4606.29 0.512043 0.048159 0.525502 0.000000 0.000000 0.745200
4611.29 0.469193 0.060336 0.593990 0.000000 0.000000 0.570373
4616.29 0.520497 0.070471 0.622975 0.000000 0.000000 0.668706
4621.29 0.650872 0.065368 0.591343 0.000000 0.000000 1.023879
4626.30 0.629305 0.032590 0.495884 0.000000 0.000000 1.065817
4631.30 0.453726 0.028690 0.420603 0.000000 0.000000 0.705376
