# lk ukf_k3iii uks_k3iii fh fse fl fd fc
# iRMS=0.0007893881411 0
# 
3335.96 0.082275 0.000000 0.082275 0.000000 0.000000 0.000000 0.000000
3340.96 0.082583 0.000000 0.082583 0.000000 0.000000 0.000000 0.000000
3345.96 0.086992 0.000000 0.086992 0.000000 0.000000 0.000000 0.000000
3350.96 0.090928 0.000000 0.090928 0.000000 0.000000 0.000000 0.000000
3355.96 0.089689 0.000000 0.089689 0.000000 0.000000 0.000000 0.000000
3360.97 0.085723 0.000000 0.085723 0.000000 0.000000 0.000000 0.000000
3365.97 0.082612 0.000000 0.082612 0.000000 0.000000 0.000000 0.000000
3370.97 0.081351 0.000000 0.081351 0.000000 0.000000 0.000000 0.000000
3375.97 0.081989 0.000000 0.081989 0.000000 0.000000 0.000000 0.000000
3380.97 0.083405 0.000000 0.083405 0.000000 0.000000 0.000000 0.000000
3385.97 0.084644 0.000000 0.084644 0.000000 0.000000 0.000000 0.000000
3390.97 0.086580 0.000000 0.086580 0.000000 0.000000 0.000000 0.000000
3395.97 0.089877 0.000000 0.089877 0.000000 0.000000 0.000000 0.000000
3400.98 0.092525 0.000000 0.092525 0.000000 0.000000 0.000000 0.000000
3405.98 0.092727 0.000000 0.092727 0.000000 0.000000 0.000000 0.000000
3410.98 0.092234 0.000000 0.092234 0.000000 0.000000 0.000000 0.000000
3415.98 0.093104 0.000000 0.093104 0.000000 0.000000 0.000000 0.000000
3420.98 0.095072 0.000000 0.095072 0.000000 0.000000 0.000000 0.000000
3425.98 0.096925 0.000000 0.096925 0.000000 0.000000 0.000000 0.000000
3430.98 0.095961 0.000000 0.095961 0.000000 0.000000 0.000000 0.000000
3435.98 0.090661 0.000000 0.090661 0.000000 0.000000 0.000000 0.000000
3440.99 0.085713 0.000000 0.085713 0.000000 0.000000 0.000000 0.000000
3445.99 0.085641 0.000000 0.085641 0.000000 0.000000 0.000000 0.000000
3450.99 0.088092 0.000000 0.088092 0.000000 0.000000 0.000000 0.000000
3455.99 0.089649 0.000000 0.089649 0.000000 0.000000 0.000000 0.000000
3460.99 0.089515 0.000000 0.089515 0.000000 0.000000 0.000000 0.000000
3465.99 0.088076 0.000000 0.088076 0.000000 0.000000 0.000000 0.000000
3470.99 0.087833 0.000000 0.087833 0.000000 0.000000 0.000000 0.000000
3475.99 0.090495 0.000000 0.090495 0.000000 0.000000 0.000000 0.000000
3481.00 0.092499 0.000000 0.092499 0.000000 0.000000 0.000000 0.000000
3486.00 0.090863 0.000000 0.090863 0.000000 0.000000 0.000000 0.000000
3491.00 0.090216 0.000000 0.090216 0.000000 0.000000 0.000000 0.000000
3496.00 0.095065 0.000000 0.095065 0.000000 0.000000 0.000000 0.000000
