# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
4606.29 0.633289 0.000000 0.633289 0.000000 0.000000
4611.29 0.635665 0.000000 0.635665 0.000000 0.000000
4616.29 0.643586 0.000000 0.643586 0.000000 0.000000
4621.29 0.656481 0.000000 0.656481 0.000000 0.000000
4626.30 0.665394 0.000000 0.665394 0.000000 0.000000
4631.30 0.659701 0.000000 0.659701 0.000000 0.000000
4636.30 0.637636 0.000000 0.637636 0.000000 0.000000
4641.30 0.610564 0.000000 0.610564 0.000000 0.000000
4646.30 0.596158 0.000000 0.596158 0.000000 0.000000
4651.30 0.604277 0.000000 0.604277 0.000000 0.000000
4656.30 0.629245 0.000000 0.629245 0.000000 0.000000
4661.30 0.655679 0.000000 0.655679 0.000000 0.000000
4666.31 0.669866 0.000000 0.669866 0.000000 0.000000
4671.31 0.667861 0.000000 0.667861 0.000000 0.000000
4676.31 0.655003 0.000000 0.655003 0.000000 0.000000
4681.31 0.638303 0.000000 0.638303 0.000000 0.000000
4686.31 0.622865 0.000000 0.622865 0.000000 0.000000
4691.31 0.613618 0.000000 0.613618 0.000000 0.000000
4696.31 0.616513 0.000000 0.616513 0.000000 0.000000
4701.32 0.634994 0.000000 0.634994 0.000000 0.000000
4706.32 0.663791 0.000000 0.663791 0.000000 0.000000
4711.32 0.687557 0.000000 0.687557 0.000000 0.000000
4716.32 0.690436 0.000000 0.690436 0.000000 0.000000
4721.32 0.670800 0.000000 0.670800 0.000000 0.000000
4726.32 0.646482 0.000000 0.646482 0.000000 0.000000
4731.32 0.644144 0.000000 0.644144 0.000000 0.000000
4736.32 0.678699 0.000000 0.678699 0.000000 0.000000
4741.33 0.738252 0.000000 0.738252 0.000000 0.000000
4746.33 0.789136 0.000000 0.789136 0.000000 0.000000
4751.33 0.798056 0.000000 0.798056 0.000000 0.000000
4756.33 0.753060 0.000000 0.753060 0.000000 0.000000
4761.33 0.669759 0.000000 0.669759 0.000000 0.000000
4766.33 0.580568 0.000000 0.580568 0.000000 0.000000
4771.33 0.516015 0.000000 0.516015 0.000000 0.000000
4776.34 0.491394 0.000000 0.491394 0.000000 0.000000
4781.34 0.504510 0.000000 0.504510 0.000000 0.000000
4786.34 0.541368 0.000000 0.541368 0.000000 0.000000
4791.34 0.583127 0.000000 0.583127 0.000000 0.000000
4796.34 0.611988 0.000000 0.611988 0.000000 0.000000
4801.34 0.617686 0.000000 0.617686 0.000000 0.000000
4806.34 0.601744 0.000000 0.601744 0.000000 0.000000
4811.34 0.577533 0.000000 0.577533 0.000000 0.000000
4816.35 0.562676 0.000000 0.562676 0.000000 0.000000
4821.35 0.568408 0.000000 0.568408 0.000000 0.000000
4826.35 0.592890 0.000000 0.592890 0.000000 0.000000
4831.35 0.623324 0.000000 0.623324 0.000000 0.000000
4836.35 0.645152 0.000000 0.645152 0.000000 0.000000
4841.35 0.650839 0.000000 0.650839 0.000000 0.000000
4846.35 0.641974 0.000000 0.641974 0.000000 0.000000
4851.36 0.626033 0.000000 0.626033 0.000000 0.000000
4856.36 0.611943 0.000000 0.611943 0.000000 0.000000
4861.36 0.607744 0.000000 0.607744 0.000000 0.000000
4866.36 0.618615 0.000000 0.618615 0.000000 0.000000
4871.36 0.644068 0.000000 0.644068 0.000000 0.000000
4876.36 0.676583 0.000000 0.676583 0.000000 0.000000
4881.36 0.704197 0.000000 0.704197 0.000000 0.000000
4886.36 0.718227 0.000000 0.718227 0.000000 0.000000
4891.37 0.722921 0.000000 0.722921 0.000000 0.000000
4896.37 0.734108 0.000000 0.734108 0.000000 0.000000
4901.37 0.765424 0.000000 0.765424 0.000000 0.000000
4906.37 0.815302 0.000000 0.815302 0.000000 0.000000
4911.37 0.865102 0.000000 0.865102 0.000000 0.000000
4916.37 0.892385 0.000000 0.892385 0.000000 0.000000
4921.37 0.892735 0.000000 0.892735 0.000000 0.000000
4926.37 0.886410 0.000000 0.886410 0.000000 0.000000
4931.38 0.901530 0.000000 0.901530 0.000000 0.000000
4936.38 0.947759 0.000000 0.947759 0.000000 0.000000
4941.38 1.002390 0.000000 1.002390 0.000000 0.000000
4946.38 1.021479 0.000000 1.021479 0.000000 0.000000
4951.38 0.971694 0.000000 0.971694 0.000000 0.000000
4956.38 0.858646 0.000000 0.858646 0.000000 0.000000
4961.38 0.724979 0.000000 0.724979 0.000000 0.000000
4966.39 0.624093 0.000000 0.624093 0.000000 0.000000
4971.39 0.588937 0.000000 0.588937 0.000000 0.000000
4976.39 0.615483 0.000000 0.615483 0.000000 0.000000
4981.39 0.671480 0.000000 0.671480 0.000000 0.000000
4986.39 0.720768 0.000000 0.720768 0.000000 0.000000
4991.39 0.741634 0.000000 0.741634 0.000000 0.000000
4996.39 0.730901 0.000000 0.730901 0.000000 0.000000
5001.39 0.697604 0.000000 0.697604 0.000000 0.000000
5006.40 0.654188 0.000000 0.654188 0.000000 0.000000
5011.40 0.612232 0.000000 0.612232 0.000000 0.000000
5016.40 0.582489 0.000000 0.582489 0.000000 0.000000
5021.40 0.574690 0.000000 0.574690 0.000000 0.000000
5026.40 0.593855 0.000000 0.593855 0.000000 0.000000
5031.40 0.636735 0.000000 0.636735 0.000000 0.000000
5036.40 0.691592 0.000000 0.691592 0.000000 0.000000
5041.41 0.742202 0.000000 0.742202 0.000000 0.000000
5046.41 0.776500 0.000000 0.776500 0.000000 0.000000
5051.41 0.791118 0.000000 0.791118 0.000000 0.000000
5056.41 0.792003 0.000000 0.792003 0.000000 0.000000
5061.41 0.789585 0.000000 0.789585 0.000000 0.000000
5066.41 0.791398 0.000000 0.791398 0.000000 0.000000
5071.41 0.798349 0.000000 0.798349 0.000000 0.000000
5076.41 0.804943 0.000000 0.804943 0.000000 0.000000
5081.42 0.805109 0.000000 0.805109 0.000000 0.000000
5086.42 0.797142 0.000000 0.797142 0.000000 0.000000
5091.42 0.784544 0.000000 0.784544 0.000000 0.000000
5096.42 0.772893 0.000000 0.772893 0.000000 0.000000
5101.42 0.765544 0.000000 0.765544 0.000000 0.000000
5106.42 0.762378 0.000000 0.762378 0.000000 0.000000
5111.42 0.762702 0.000000 0.762702 0.000000 0.000000
