# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
4691.31 1.296361 0.000000 1.296361 0.000000 0.000000
4696.31 1.274205 0.000000 1.274205 0.000000 0.000000
4701.32 1.254082 0.000000 1.254082 0.000000 0.000000
4706.32 1.246472 0.000000 1.246472 0.000000 0.000000
4711.32 1.256395 0.000000 1.256395 0.000000 0.000000
4716.32 1.281319 0.000000 1.281319 0.000000 0.000000
4721.32 1.293975 0.000000 1.293975 0.000000 0.000000
4726.32 1.273510 0.000000 1.273510 0.000000 0.000000
4731.32 1.249471 0.000000 1.249471 0.000000 0.000000
4736.32 1.252310 0.000000 1.252310 0.000000 0.000000
4741.33 1.265686 0.000000 1.265686 0.000000 0.000000
4746.33 1.267268 0.000000 1.267268 0.000000 0.000000
4751.33 1.257552 0.000000 1.257552 0.000000 0.000000
4756.33 1.242445 0.000000 1.242445 0.000000 0.000000
4761.33 1.226665 0.000000 1.226665 0.000000 0.000000
4766.33 1.215916 0.000000 1.215916 0.000000 0.000000
4771.33 1.221029 0.000000 1.221029 0.000000 0.000000
4776.34 1.245981 0.000000 1.245981 0.000000 0.000000
4781.34 1.262194 0.000000 1.262194 0.000000 0.000000
4786.34 1.246091 0.000000 1.246091 0.000000 0.000000
4791.34 1.226665 0.000000 1.226665 0.000000 0.000000
4796.34 1.233362 0.000000 1.233362 0.000000 0.000000
4801.34 1.244876 0.000000 1.244876 0.000000 0.000000
4806.34 1.237391 0.000000 1.237391 0.000000 0.000000
4811.34 1.227795 0.000000 1.227795 0.000000 0.000000
4816.35 1.234518 0.000000 1.234518 0.000000 0.000000
4821.35 1.241441 0.000000 1.241441 0.000000 0.000000
4826.35 1.230013 0.000000 1.230013 0.000000 0.000000
4831.35 1.206496 0.000000 1.206496 0.000000 0.000000
4836.35 1.183966 0.000000 1.183966 0.000000 0.000000
4841.35 1.177948 0.000000 1.177948 0.000000 0.000000
4846.35 1.184808 0.000000 1.184808 0.000000 0.000000
4851.36 1.121827 0.000000 1.121827 0.000000 0.000000
4856.36 0.939569 0.000000 0.939569 0.000000 0.000000
4861.36 0.800804 0.000000 0.800804 0.000000 0.000000
4866.36 0.857047 0.000000 0.857047 0.000000 0.000000
4871.36 1.002596 0.000000 1.002596 0.000000 0.000000
4876.36 1.098511 0.000000 1.098511 0.000000 0.000000
4881.36 1.130124 0.000000 1.130124 0.000000 0.000000
4886.36 1.120419 0.000000 1.120419 0.000000 0.000000
4891.37 1.118732 0.000000 1.118732 0.000000 0.000000
4896.37 1.161269 0.000000 1.161269 0.000000 0.000000
4901.37 1.205386 0.000000 1.205386 0.000000 0.000000
4906.37 1.204445 0.000000 1.204445 0.000000 0.000000
4911.37 1.174697 0.000000 1.174697 0.000000 0.000000
4916.37 1.146235 0.000000 1.146235 0.000000 0.000000
4921.37 1.141632 0.000000 1.141632 0.000000 0.000000
4926.37 1.170165 0.000000 1.170165 0.000000 0.000000
4931.38 1.195435 0.000000 1.195435 0.000000 0.000000
4936.38 1.185441 0.000000 1.185441 0.000000 0.000000
4941.38 1.171456 0.000000 1.171456 0.000000 0.000000
4946.38 1.186259 0.000000 1.186259 0.000000 0.000000
4951.38 1.205386 0.000000 1.205386 0.000000 0.000000
4956.38 1.201391 0.000000 1.201391 0.000000 0.000000
4961.38 1.192137 0.000000 1.192137 0.000000 0.000000
4966.39 1.197330 0.000000 1.197330 0.000000 0.000000
4971.39 1.198743 0.000000 1.198743 0.000000 0.000000
4976.39 1.178429 0.000000 1.178429 0.000000 0.000000
4981.39 1.157513 0.000000 1.157513 0.000000 0.000000
4986.39 1.158237 0.000000 1.158237 0.000000 0.000000
4991.39 1.168224 0.000000 1.168224 0.000000 0.000000
4996.39 1.170450 0.000000 1.170450 0.000000 0.000000
5001.39 1.163928 0.000000 1.163928 0.000000 0.000000
5006.40 1.151243 0.000000 1.151243 0.000000 0.000000
5011.40 1.133251 0.000000 1.133251 0.000000 0.000000
5016.40 1.114322 0.000000 1.114322 0.000000 0.000000
5021.40 1.114618 0.000000 1.114618 0.000000 0.000000
5026.40 1.145075 0.000000 1.145075 0.000000 0.000000
5031.40 1.163928 0.000000 1.163928 0.000000 0.000000
5036.40 1.135649 0.000000 1.135649 0.000000 0.000000
5041.41 1.102367 0.000000 1.102367 0.000000 0.000000
5046.41 1.110351 0.000000 1.110351 0.000000 0.000000
5051.41 1.144791 0.000000 1.144791 0.000000 0.000000
5056.41 1.177894 0.000000 1.177894 0.000000 0.000000
5061.41 1.191039 0.000000 1.191039 0.000000 0.000000
5066.41 1.174216 0.000000 1.174216 0.000000 0.000000
5071.41 1.142684 0.000000 1.142684 0.000000 0.000000
5076.41 1.116737 0.000000 1.116737 0.000000 0.000000
