# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
5196.45 0.965436 0.056487 0.523956 1.926358
5201.45 0.826809 0.047622 0.555866 1.542606
5206.45 0.504568 0.047670 0.535883 0.744731
5211.45 1.020360 0.046634 0.543570 2.046143
5216.45 1.364703 0.048263 0.600816 2.862853
5221.45 0.903007 0.035855 0.666915 1.624951
5226.45 0.745670 0.047245 0.729999 1.162540
5231.46 1.019120 0.050364 0.803600 1.782965
5236.46 1.200118 0.058647 0.835166 2.210779
5241.46 1.087078 0.039019 0.798221 1.960826
5246.46 0.805364 0.043907 0.757608 1.286437
5251.46 0.779865 0.041122 0.767501 1.211826
5256.46 1.105163 0.021670 0.828744 1.976203
5261.46 1.496360 0.015505 0.857602 2.940217
5266.47 1.302660 0.036226 0.822545 2.483655
5271.47 0.894784 0.038870 0.828419 1.442578
5276.47 1.225385 0.032473 0.894851 2.215224
5281.47 1.413054 0.024288 0.964230 2.622156
5286.47 1.029546 0.022974 1.038902 1.574125
5291.47 1.104627 0.031998 1.110147 1.693437
5296.47 1.615223 0.032320 1.143393 2.956105
5301.47 1.954201 0.038520 1.162024 3.797813
5306.48 1.800279 0.037957 1.156164 3.413013
5311.48 1.234844 0.044017 1.092195 2.041887
5316.48 0.761378 0.047321 1.073908 0.858499
5321.48 0.896155 0.029457 1.083543 1.190932
5326.48 1.461449 0.022986 1.066195 2.643018
5331.48 1.292905 0.024048 1.057956 2.223486
5336.48 0.759701 0.015853 1.087675 0.840475
5341.49 0.731544 0.030354 1.130854 0.725833
5346.49 0.783556 0.068323 1.194709 0.793986
5351.49 0.816853 0.063210 1.273429 0.799775
5356.49 1.125908 0.042257 1.271071 1.586526
5361.49 1.249454 0.026262 1.166614 2.004548
5366.49 0.959596 0.041956 1.099023 1.336468
5371.49 0.712326 0.034021 1.103853 0.704057
5376.49 0.714504 0.030290 1.172498 0.640941
5381.50 0.937999 0.035440 1.245763 1.134914
5386.50 1.245950 0.031112 1.262707 1.899562
5391.50 1.467318 0.046257 1.253794 2.470316
5396.50 1.398972 0.073967 1.264714 2.285931
5401.50 1.203577 0.070330 1.308866 1.745858
5406.50 1.135232 0.043188 1.282796 1.598466
5411.50 1.242927 0.057607 1.249153 1.905445
5416.51 1.365285 0.032481 1.307561 2.157584
5421.51 1.197547 0.041682 1.361953 1.677466
