# lk ukf_m3iii uks_m3iii fh fl fd fm fsv
# lRMS=0.06043180451 iRMS=0.04044797271 0
# 
4456.25 0.410175 0.029253 0.415731 0.000000 0.000000 0.460973 0.000000
4461.25 0.331899 0.012096 0.387814 0.000000 0.000000 0.321582 0.000000
4466.25 0.355830 0.010410 0.401933 0.000000 0.000000 0.358613 0.000000
4471.25 0.468006 0.016114 0.436655 0.000000 0.000000 0.563656 0.000000
4476.26 0.615910 0.024076 0.475478 0.000000 0.000000 0.840960 0.000000
4481.26 0.708647 0.024436 0.490627 0.000000 0.000000 1.024026 0.000000
4486.26 0.724174 0.029541 0.497977 0.000000 0.000000 1.049864 0.000000
4491.26 0.675395 0.031174 0.495557 0.000000 0.000000 0.948025 0.000000
4496.26 0.622046 0.028658 0.499706 0.000000 0.000000 0.829848 0.000000
4501.26 0.606215 0.025874 0.522112 0.000000 0.000000 0.773605 0.000000
4506.26 0.621026 0.024998 0.538828 0.000000 0.000000 0.788545 0.000000
4511.27 0.609677 0.021928 0.532592 0.000000 0.000000 0.770525 0.000000
4516.27 0.552788 0.030897 0.526361 0.000000 0.000000 0.655161 0.000000
4521.27 0.513732 0.035962 0.514891 0.000000 0.000000 0.583153 0.000000
4526.27 0.474722 0.020465 0.474047 0.000000 0.000000 0.540617 0.000000
4531.27 0.400213 0.011597 0.448377 0.000000 0.000000 0.407034 0.000000
4536.27 0.455654 0.019953 0.469075 0.000000 0.000000 0.504834 0.000000
4541.27 0.641255 0.028573 0.503433 0.000000 0.000000 0.867177 0.000000
4546.27 0.642532 0.020557 0.511718 0.000000 0.000000 0.861621 0.000000
4551.28 0.550860 0.012205 0.513826 0.000000 0.000000 0.663575 0.000000
4556.28 0.596336 0.018983 0.545094 0.000000 0.000000 0.729507 0.000000
4561.28 0.660528 0.031881 0.588421 0.000000 0.000000 0.823382 0.000000
4566.28 0.660501 0.036277 0.612579 0.000000 0.000000 0.799169 0.000000
4571.28 0.630982 0.034595 0.618052 0.000000 0.000000 0.730602 0.000000
4576.28 0.610910 0.036480 0.612497 0.000000 0.000000 0.693254 0.000000
4581.28 0.603351 0.032823 0.592524 0.000000 0.000000 0.697071 0.000000
4586.28 0.569874 0.018876 0.562060 0.000000 0.000000 0.655981 0.000000
4591.29 0.526840 0.010624 0.536318 0.000000 0.000000 0.589743 0.000000
4596.29 0.515343 0.010921 0.529567 0.000000 0.000000 0.571921 0.000000
4601.29 0.549337 0.013790 0.544644 0.000000 0.000000 0.629502 0.000000
4606.29 0.601618 0.024876 0.587035 0.000000 0.000000 0.698857 0.000000
4611.29 0.617425 0.025676 0.641523 0.000000 0.000000 0.678154 0.000000
4616.29 0.643517 0.033028 0.674356 0.000000 0.000000 0.701089 0.000000
4621.29 0.710135 0.037712 0.672722 0.000000 0.000000 0.845112 0.000000
4626.30 0.696470 0.027745 0.618411 0.000000 0.000000 0.870215 0.000000
4631.30 0.598740 0.012305 0.557460 0.000000 0.000000 0.722280 0.000000
4636.30 0.511115 0.008066 0.519350 0.000000 0.000000 0.573100 0.000000
4641.30 0.496694 0.015244 0.502282 0.000000 0.000000 0.559346 0.000000
4646.30 0.539936 0.020775 0.510620 0.000000 0.000000 0.643431 0.000000
4651.30 0.518222 0.024807 0.540530 0.000000 0.000000 0.567112 0.000000
4656.30 0.536749 0.026633 0.584572 0.000000 0.000000 0.562668 0.000000
4661.30 0.706362 0.043819 0.623297 0.000000 0.000000 0.886472 0.000000
4666.31 0.737015 0.023650 0.583513 0.000000 0.000000 0.991774 0.000000
4671.31 0.630991 0.019437 0.537539 0.000000 0.000000 0.811132 0.000000
4676.31 0.626014 0.013559 0.541682 0.000000 0.000000 0.796353 0.000000
4681.31 0.638738 0.014432 0.553647 0.000000 0.000000 0.811583 0.000000
4686.31 0.627207 0.015615 0.566666 0.000000 0.000000 0.773919 0.000000
4691.31 0.737064 0.018367 0.594961 0.000000 0.000000 0.980431 0.000000
4696.31 0.821812 0.026777 0.630561 0.000000 0.000000 1.125970 0.000000
4701.32 0.690781 0.024765 0.639583 0.000000 0.000000 0.836884 0.000000
4706.32 0.598706 0.030228 0.640969 0.000000 0.000000 0.638697 0.000000
4711.32 0.618911 0.029631 0.636419 0.000000 0.000000 0.686434 0.000000
4716.32 0.612326 0.025880 0.635020 0.000000 0.000000 0.673759 0.000000
4721.32 0.633597 0.020900 0.649908 0.000000 0.000000 0.704335 0.000000
