# lk ukf_k5iii uks_k5iii fh fse fl fd fk fc
# lRMS=0.0193966832 iRMS=0.002092176583 0
# 
3265.94 0.034186 0.000000 0.034186 0.000000 0.000000 0.000000 0.000000 0.000000
3270.94 0.034698 0.000000 0.034698 0.000000 0.000000 0.000000 0.000000 0.000000
3275.94 0.032988 0.000000 0.032988 0.000000 0.000000 0.000000 0.000000 0.000000
3280.95 0.032823 0.000000 0.032823 0.000000 0.000000 0.000000 0.000000 0.000000
3285.95 0.037276 0.000000 0.037276 0.000000 0.000000 0.000000 0.000000 0.000000
3290.95 0.041684 0.000000 0.041684 0.000000 0.000000 0.000000 0.000000 0.000000
3295.95 0.041332 0.000000 0.041332 0.000000 0.000000 0.000000 0.000000 0.000000
3300.95 0.039032 0.000000 0.039032 0.000000 0.000000 0.000000 0.000000 0.000000
3305.95 0.038362 0.000000 0.038362 0.000000 0.000000 0.000000 0.000000 0.000000
3310.95 0.038448 0.000000 0.038448 0.000000 0.000000 0.000000 0.000000 0.000000
3315.95 0.037707 0.000000 0.037707 0.000000 0.000000 0.000000 0.000000 0.000000
3320.96 0.036177 0.000000 0.036177 0.000000 0.000000 0.000000 0.000000 0.000000
3325.96 0.034418 0.000000 0.034418 0.000000 0.000000 0.000000 0.000000 0.000000
3330.96 0.033467 0.000000 0.033467 0.000000 0.000000 0.000000 0.000000 0.000000
3335.96 0.034253 0.000000 0.034253 0.000000 0.000000 0.000000 0.000000 0.000000
3340.96 0.036808 0.000000 0.036808 0.000000 0.000000 0.000000 0.000000 0.000000
3345.96 0.040320 0.000000 0.040320 0.000000 0.000000 0.000000 0.000000 0.000000
3350.96 0.041522 0.000000 0.041522 0.000000 0.000000 0.000000 0.000000 0.000000
3355.96 0.038160 0.000000 0.038160 0.000000 0.000000 0.000000 0.000000 0.000000
3360.97 0.034498 0.000000 0.034498 0.000000 0.000000 0.000000 0.000000 0.000000
3365.97 0.034632 0.000000 0.034632 0.000000 0.000000 0.000000 0.000000 0.000000
3370.97 0.035467 0.000000 0.035467 0.000000 0.000000 0.000000 0.000000 0.000000
3375.97 0.033521 0.000000 0.033521 0.000000 0.000000 0.000000 0.000000 0.000000
3380.97 0.030937 0.000000 0.030937 0.000000 0.000000 0.000000 0.000000 0.000000
3385.97 0.030656 0.000000 0.030656 0.000000 0.000000 0.000000 0.000000 0.000000
3390.97 0.033149 0.000000 0.033149 0.000000 0.000000 0.000000 0.000000 0.000000
3395.97 0.037765 0.000000 0.037765 0.000000 0.000000 0.000000 0.000000 0.000000
3400.98 0.041814 0.000000 0.041814 0.000000 0.000000 0.000000 0.000000 0.000000
3405.98 0.043351 0.000000 0.043351 0.000000 0.000000 0.000000 0.000000 0.000000
3410.98 0.045441 0.000000 0.045441 0.000000 0.000000 0.000000 0.000000 0.000000
3415.98 0.050954 0.000000 0.050954 0.000000 0.000000 0.000000 0.000000 0.000000
3420.98 0.056967 0.000000 0.056967 0.000000 0.000000 0.000000 0.000000 0.000000
3425.98 0.059632 0.000000 0.059632 0.000000 0.000000 0.000000 0.000000 0.000000
3430.98 0.057214 0.000000 0.057214 0.000000 0.000000 0.000000 0.000000 0.000000
3435.98 0.049811 0.000000 0.049811 0.000000 0.000000 0.000000 0.000000 0.000000
3440.99 0.042755 0.000000 0.042755 0.000000 0.000000 0.000000 0.000000 0.000000
3445.99 0.041138 0.000000 0.041138 0.000000 0.000000 0.000000 0.000000 0.000000
3450.99 0.043861 0.000000 0.043861 0.000000 0.000000 0.000000 0.000000 0.000000
3455.99 0.048007 0.000000 0.048007 0.000000 0.000000 0.000000 0.000000 0.000000
3460.99 0.049567 0.000000 0.049567 0.000000 0.000000 0.000000 0.000000 0.000000
3465.99 0.046016 0.000000 0.046016 0.000000 0.000000 0.000000 0.000000 0.000000
3470.99 0.041839 0.000000 0.041839 0.000000 0.000000 0.000000 0.000000 0.000000
3475.99 0.041462 0.000000 0.041462 0.000000 0.000000 0.000000 0.000000 0.000000
3481.00 0.042066 0.000000 0.042066 0.000000 0.000000 0.000000 0.000000 0.000000
3486.00 0.040508 0.000000 0.040508 0.000000 0.000000 0.000000 0.000000 0.000000
3491.00 0.039606 0.000000 0.039606 0.000000 0.000000 0.000000 0.000000 0.000000
3496.00 0.042756 0.000000 0.042756 0.000000 0.000000 0.000000 0.000000 0.000000
3501.00 0.049727 0.000000 0.049727 0.000000 0.000000 0.000000 0.000000 0.000000
