# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
4371.23 0.451098 0.000000 0.410303 0.000000 2.714571
4376.23 0.503220 0.000000 0.422877 0.000000 3.063060
4381.23 0.457475 0.000000 0.422282 0.000000 2.746772
4386.23 0.336370 0.000000 0.441024 0.000000 1.889104
4391.23 0.322854 0.000000 0.446727 0.000000 1.789769
4396.23 0.336193 0.000000 0.410030 0.000000 1.918871
4401.24 0.240353 0.000000 0.378501 0.000000 1.286488
4406.24 0.194336 0.000000 0.397485 0.000000 0.948729
4411.24 0.331282 0.000000 0.426497 0.000000 1.868382
4416.24 0.655492 0.000000 0.415555 0.000000 4.125212
4421.24 0.779208 0.000000 0.362522 0.000000 5.035263
4426.24 0.401994 0.000000 0.283273 0.000000 2.501450
4431.24 0.139046 0.000000 0.217887 0.000000 0.745323
4436.25 0.182991 0.000000 0.201033 0.000000 1.066598
4441.25 0.207155 0.000000 0.221538 0.000000 1.213482
4446.25 0.304055 0.000000 0.257603 0.000000 1.848668
4451.25 0.504435 0.000000 0.290787 0.000000 3.203568
4456.25 0.510674 0.000000 0.304960 0.000000 3.232613
4461.25 0.332473 0.000000 0.289890 0.000000 2.013236
4466.25 0.172293 0.000000 0.244925 0.000000 0.948595
4471.25 0.206144 0.000000 0.201847 0.000000 1.226165
4476.26 0.436600 0.000000 0.192142 0.000000 2.832304
4481.26 0.638342 0.000000 0.213682 0.000000 4.208285
4486.26 0.668737 0.000000 0.251888 0.000000 4.380634
4491.26 0.510327 0.000000 0.276003 0.000000 3.259166
4496.26 0.342707 0.000000 0.262660 0.000000 2.111364
4501.26 0.260867 0.000000 0.234255 0.000000 1.572842
4506.26 0.233774 0.000000 0.219103 0.000000 1.400311
4511.27 0.229562 0.000000 0.223433 0.000000 1.366805
4516.27 0.233865 0.000000 0.244231 0.000000 1.375817
4521.27 0.269621 0.000000 0.263595 0.000000 1.604141
4526.27 0.247884 0.000000 0.267896 0.000000 1.449263
4531.27 0.089154 0.000000 0.275495 0.000000 0.342098
4536.27 0.373276 0.000000 0.302727 0.000000 2.283054
4541.27 1.043063 0.000000 0.325833 0.000000 6.899743
4546.27 0.779264 0.000000 0.319946 0.000000 5.078224
4551.28 0.124354 0.000000 0.295858 0.000000 0.565574
4556.28 0.191089 0.000000 0.280159 0.000000 1.043564
4561.28 0.328929 0.000000 0.326992 0.000000 1.951586
4566.28 0.288820 0.000000 0.464884 0.000000 1.535848
