# lk ukf_k2iii uks_k2iii fh fse fl fk fc
# lRMS=0.002399086021 iRMS=0.0006689172587 0
# 
3831.09 0.111653 0.000000 0.111653 0.000000 0.000000 0.000000 0.000000
3836.09 0.117002 0.000000 0.117002 0.000000 0.000000 0.000000 0.000000
3841.09 0.125179 0.000000 0.125179 0.000000 0.000000 0.000000 0.000000
3846.09 0.136606 0.000000 0.136606 0.000000 0.000000 0.000000 0.000000
3851.09 0.141279 0.000000 0.141279 0.000000 0.000000 0.000000 0.000000
3856.09 0.137342 0.000000 0.137342 0.000000 0.000000 0.000000 0.000000
3861.09 0.134849 0.000000 0.134849 0.000000 0.000000 0.000000 0.000000
3866.10 0.137161 0.000000 0.137161 0.000000 0.000000 0.000000 0.000000
3871.10 0.138534 0.000000 0.138534 0.000000 0.000000 0.000000 0.000000
3876.10 0.143571 0.000000 0.143571 0.000000 0.000000 0.000000 0.000000
3881.10 0.152282 0.000000 0.152282 0.000000 0.000000 0.000000 0.000000
3886.10 0.169180 0.000000 0.169180 0.000000 0.000000 0.000000 0.000000
3891.10 0.199846 0.000000 0.199846 0.000000 0.000000 0.000000 0.000000
3896.10 0.225576 0.000000 0.225576 0.000000 0.000000 0.000000 0.000000
3901.10 0.231946 0.000000 0.231946 0.000000 0.000000 0.000000 0.000000
3906.11 0.236468 0.000000 0.236468 0.000000 0.000000 0.000000 0.000000
3911.11 0.248076 0.000000 0.248076 0.000000 0.000000 0.000000 0.000000
3916.11 0.243261 0.000000 0.243261 0.000000 0.000000 0.000000 0.000000
3921.11 0.210798 0.000000 0.210798 0.000000 0.000000 0.000000 0.000000
3926.11 0.168221 0.000000 0.168221 0.000000 0.000000 0.000000 0.000000
3931.11 0.125350 0.000000 0.125350 0.000000 0.000000 0.000000 0.000000
3936.11 0.111299 0.000000 0.111299 0.000000 0.000000 0.000000 0.000000
3941.12 0.142571 0.000000 0.142571 0.000000 0.000000 0.000000 0.000000
3946.12 0.192386 0.000000 0.192386 0.000000 0.000000 0.000000 0.000000
3951.12 0.234217 0.000000 0.234217 0.000000 0.000000 0.000000 0.000000
3956.12 0.244644 0.000000 0.244644 0.000000 0.000000 0.000000 0.000000
3961.12 0.209668 0.000000 0.209668 0.000000 0.000000 0.000000 0.000000
3966.12 0.156350 0.000000 0.156350 0.000000 0.000000 0.000000 0.000000
3971.12 0.147154 0.000000 0.147154 0.000000 0.000000 0.000000 0.000000
3976.12 0.205347 0.000000 0.205347 0.000000 0.000000 0.000000 0.000000
3981.13 0.282266 0.000000 0.282266 0.000000 0.000000 0.000000 0.000000
3986.13 0.335765 0.000000 0.335765 0.000000 0.000000 0.000000 0.000000
3991.13 0.364413 0.000000 0.364413 0.000000 0.000000 0.000000 0.000000
3996.13 0.381290 0.000000 0.381290 0.000000 0.000000 0.000000 0.000000
4001.13 0.398582 0.000000 0.398582 0.000000 0.000000 0.000000 0.000000
4006.13 0.411098 0.000000 0.411098 0.000000 0.000000 0.000000 0.000000
4011.13 0.427391 0.000000 0.427391 0.000000 0.000000 0.000000 0.000000
4016.13 0.448245 0.000000 0.448245 0.000000 0.000000 0.000000 0.000000
4021.14 0.453928 0.000000 0.453928 0.000000 0.000000 0.000000 0.000000
4026.14 0.440442 0.000000 0.440442 0.000000 0.000000 0.000000 0.000000
4031.14 0.414298 0.000000 0.414298 0.000000 0.000000 0.000000 0.000000
4036.14 0.403457 0.000000 0.403457 0.000000 0.000000 0.000000 0.000000
4041.14 0.405082 0.000000 0.405082 0.000000 0.000000 0.000000 0.000000
