# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
6256.73 0.360047 0.000000
6261.73 0.335176 0.000000
6266.73 0.423208 0.000000
6271.73 0.502330 0.000000
6276.74 0.495024 0.000000
6281.74 0.521280 0.000000
6286.74 0.576026 0.000000
6291.74 0.596698 0.000000
6296.74 0.641516 0.000000
6301.74 0.764319 0.000000
6306.74 0.948465 0.000000
6311.75 1.097263 0.000000
6316.75 1.111359 0.000000
6321.75 1.014224 0.000000
6326.75 0.940789 0.000000
6331.75 1.109293 0.000000
6336.75 1.247187 0.000000
6341.75 1.037216 0.000000
6346.75 0.899020 0.000000
6351.76 1.080901 0.000000
6356.76 1.361213 0.000000
6361.76 1.364994 0.000000
6366.76 1.044279 0.000000
6371.76 1.457968 0.000000
6376.76 2.315991 0.000000
6381.76 2.172987 0.000000
6386.77 1.729151 0.000000
6391.77 1.676710 0.000000
6396.77 1.476850 0.000000
6401.77 1.498001 0.000000
6406.77 2.616587 0.000000
6411.77 3.285394 0.000000
6416.77 2.510150 0.000000
6421.77 1.577233 0.000000
6426.78 1.277306 0.000000
6431.78 1.756908 0.000000
6436.78 2.411512 0.000000
6441.78 2.705787 0.000000
6446.78 2.552645 0.000000
6451.78 2.501166 0.000000
6456.78 2.931416 0.000000
6461.79 2.748490 0.000000
6466.79 2.232845 0.000000
6471.79 2.960651 0.000000
6476.79 3.871907 0.000000
6481.79 3.491218 0.000000
6486.79 2.693065 0.000000
6491.79 2.378091 0.000000
6496.79 2.848431 0.000000
6501.80 3.389950 0.000000
6506.80 3.480060 0.000000
6511.80 3.440050 0.000000
6516.80 3.121377 0.000000
6521.80 2.631738 0.000000
6526.80 3.694447 0.000000
6531.80 5.631238 0.000000
6536.81 5.660312 0.000000
6541.81 4.231599 0.000000
6546.81 2.846224 0.000000
6551.81 2.726681 0.000000
6556.81 3.149622 0.000000
6561.81 2.146533 0.000000
6566.81 1.266263 0.000000
6571.81 1.652278 0.000000
6576.82 1.850825 0.000000
6581.82 1.741567 0.000000
6586.82 1.807824 0.000000
6591.82 1.566494 0.000000
6596.82 1.107306 0.000000
6601.82 1.125057 0.000000
