# lk ukf_m4iii uks_m4iii fh fl fm fsv
# lRMS=0.06283461303 iRMS=0.08481960744 0
# 
4686.31 0.601207 0.026068 0.526071 0.000000 0.928252 0.000000
4691.31 0.746938 0.036087 0.568841 0.000000 1.238005 0.000000
4696.31 0.856347 0.046460 0.610119 0.000000 1.461388 0.000000
4701.32 0.698514 0.050399 0.632312 0.000000 1.057396 0.000000
4706.32 0.586982 0.049393 0.633795 0.000000 0.786116 0.000000
4711.32 0.599292 0.039071 0.617045 0.000000 0.832644 0.000000
4716.32 0.542113 0.029974 0.602778 0.000000 0.708597 0.000000
4721.32 0.539515 0.035288 0.609430 0.000000 0.695659 0.000000
4726.32 0.639777 0.040234 0.620474 0.000000 0.927150 0.000000
4731.32 0.626495 0.036858 0.620640 0.000000 0.894853 0.000000
4736.32 0.583247 0.037408 0.640187 0.000000 0.770691 0.000000
4741.33 0.678394 0.036901 0.661894 0.000000 0.979145 0.000000
4746.33 0.829409 0.057906 0.707640 0.000000 1.298704 0.000000
4751.33 0.902454 0.085124 0.736429 0.000000 1.446611 0.000000
4756.33 0.820336 0.095236 0.689555 0.000000 1.294841 0.000000
4761.33 0.614206 0.049388 0.545433 0.000000 0.940335 0.000000
4766.33 0.419672 0.026479 0.417152 0.000000 0.598037 0.000000
4771.33 0.352959 0.017760 0.397162 0.000000 0.456648 0.000000
4776.34 0.403278 0.016527 0.433821 0.000000 0.541711 0.000000
4781.34 0.488565 0.004625 0.461727 0.000000 0.720113 0.000000
4786.34 0.552573 0.010435 0.480534 0.000000 0.856143 0.000000
4791.34 0.587548 0.010612 0.519303 0.000000 0.901979 0.000000
4796.34 0.626893 0.030470 0.558173 0.000000 0.958285 0.000000
4801.34 0.618719 0.036876 0.557467 0.000000 0.939216 0.000000
4806.34 0.468524 0.021423 0.490080 0.000000 0.643282 0.000000
4811.34 0.314352 0.026550 0.427963 0.000000 0.332456 0.000000
4816.35 0.341674 0.015737 0.463248 0.000000 0.363263 0.000000
4821.35 0.598367 0.007936 0.508846 0.000000 0.938606 0.000000
4826.35 0.811595 0.003763 0.523188 0.000000 1.440063 0.000000
4831.35 0.604668 0.009726 0.534113 0.000000 0.928580 0.000000
4836.35 0.459807 0.022365 0.572417 0.000000 0.539859 0.000000
4841.35 0.635904 0.032564 0.592065 0.000000 0.946188 0.000000
4846.35 0.634506 0.023857 0.565447 0.000000 0.969425 0.000000
4851.36 0.500122 0.008828 0.520253 0.000000 0.689544 0.000000
4856.36 0.530285 0.014154 0.513375 0.000000 0.769386 0.000000
4861.36 0.655494 0.010330 0.517219 0.000000 1.068424 0.000000
4866.36 0.739765 0.016267 0.548816 0.000000 1.240678 0.000000
4871.36 0.671746 0.026209 0.590263 0.000000 1.034692 0.000000
4876.36 0.669223 0.030899 0.619940 0.000000 0.998913 0.000000
4881.36 0.813403 0.034403 0.642449 0.000000 1.325177 0.000000
4886.36 0.787727 0.037112 0.660829 0.000000 1.244686 0.000000
4891.37 0.688448 0.039759 0.686338 0.000000 0.979021 0.000000
4896.37 0.754828 0.045844 0.729861 0.000000 1.096072 0.000000
4901.37 0.850632 0.044288 0.764324 0.000000 1.293359 0.000000
4906.37 0.882701 0.057495 0.803354 0.000000 1.331904 0.000000
4911.37 0.853200 0.070956 0.835817 0.000000 1.228078 0.000000
4916.37 0.832439 0.074126 0.857583 0.000000 1.156091 0.000000
4921.37 0.871168 0.056469 0.855786 0.000000 1.251574 0.000000
4926.37 0.992927 0.088636 0.918157 0.000000 1.483738 0.000000
4931.38 1.087510 0.120568 0.988746 0.000000 1.641946 0.000000
4936.38 1.043365 0.091771 0.972855 0.000000 1.551049 0.000000
4941.38 0.993122 0.090454 0.979242 0.000000 1.423125 0.000000
4946.38 1.007706 0.153409 1.052049 0.000000 1.385596 0.000000
4951.38 0.980466 0.170458 1.004894 0.000000 1.366857 0.000000
