# lk ukf_g5iii uks_g5iii fh fse fl fd fk
# lRMS=0.004043848254 iRMS=0.0002053742355 0
# 
3481.00 0.298682 0.000000 0.298682 0.000000 0.000000 0.000000 0.000000
3486.00 0.300750 0.000000 0.300750 0.000000 0.000000 0.000000 0.000000
3491.00 0.302720 0.000000 0.302720 0.000000 0.000000 0.000000 0.000000
3496.00 0.304556 0.000000 0.304556 0.000000 0.000000 0.000000 0.000000
3501.00 0.306225 0.000000 0.306225 0.000000 0.000000 0.000000 0.000000
3506.00 0.307692 0.000000 0.307692 0.000000 0.000000 0.000000 0.000000
3511.00 0.275057 0.037105 0.275057 0.000000 0.000000 0.000000 0.000000
3516.01 0.273485 0.039899 0.273485 0.000000 0.000000 0.000000 0.000000
3521.01 0.266152 0.048692 0.266152 0.000000 0.000000 0.000000 0.000000
3526.01 0.270314 0.044550 0.270314 0.000000 0.000000 0.000000 0.000000
3531.01 0.298799 0.013390 0.298799 0.000000 0.000000 0.000000 0.000000
3536.01 0.310015 0.000745 0.310015 0.000000 0.000000 0.000000 0.000000
3541.01 0.311809 0.002010 0.311809 0.000000 0.000000 0.000000 0.000000
3546.01 0.307557 0.001386 0.307557 0.000000 0.000000 0.000000 0.000000
3551.01 0.271941 0.038656 0.271941 0.000000 0.000000 0.000000 0.000000
3556.02 0.264038 0.045079 0.264038 0.000000 0.000000 0.000000 0.000000
3561.02 0.258830 0.048232 0.258830 0.000000 0.000000 0.000000 0.000000
3566.02 0.252906 0.052053 0.252906 0.000000 0.000000 0.000000 0.000000
3571.02 0.253464 0.048867 0.253464 0.000000 0.000000 0.000000 0.000000
3576.02 0.249345 0.051099 0.249345 0.000000 0.000000 0.000000 0.000000
3581.02 0.211242 0.091059 0.211242 0.000000 0.000000 0.000000 0.000000
3586.02 0.214390 0.086537 0.214390 0.000000 0.000000 0.000000 0.000000
3591.02 0.245874 0.051886 0.245874 0.000000 0.000000 0.000000 0.000000
3596.03 0.287826 0.006883 0.287826 0.000000 0.000000 0.000000 0.000000
3601.03 0.308112 0.013065 0.308112 0.000000 0.000000 0.000000 0.000000
3606.03 0.296150 0.008233 0.296150 0.000000 0.000000 0.000000 0.000000
3611.03 0.262394 0.031142 0.262394 0.000000 0.000000 0.000000 0.000000
3616.03 0.259806 0.032105 0.259806 0.000000 0.000000 0.000000 0.000000
3621.03 0.282937 0.015404 0.282937 0.000000 0.000000 0.000000 0.000000
3626.03 0.306438 0.006532 0.306438 0.000000 0.000000 0.000000 0.000000
3631.03 0.305349 0.022238 0.305349 0.000000 0.000000 0.000000 0.000000
3636.04 0.321471 0.031397 0.321471 0.000000 0.000000 0.000000 0.000000
3641.04 0.336555 0.017104 0.336555 0.000000 0.000000 0.000000 0.000000
3646.04 0.315043 0.005701 0.315043 0.000000 0.000000 0.000000 0.000000
3651.04 0.318908 0.008357 0.318908 0.000000 0.000000 0.000000 0.000000
3656.04 0.381258 0.011012 0.381258 0.000000 0.000000 0.000000 0.000000
3661.04 0.416198 0.019131 0.416198 0.000000 0.000000 0.000000 0.000000
3666.04 0.403470 0.029515 0.403470 0.000000 0.000000 0.000000 0.000000
