# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
4681.31 0.957208 0.005109 0.957208 0.000000 0.000000
4686.31 0.970670 0.008495 0.970670 0.000000 0.000000
4691.31 0.974373 0.006948 0.974373 0.000000 0.000000
4696.31 0.971664 0.011463 0.971664 0.000000 0.000000
4701.32 0.975706 0.032886 0.975706 0.000000 0.000000
4706.32 0.981727 0.052199 0.981727 0.000000 0.000000
4711.32 0.973897 0.038977 0.973897 0.000000 0.000000
4716.32 0.963007 0.004578 0.963007 0.000000 0.000000
4721.32 0.970243 0.014570 0.970243 0.000000 0.000000
4726.32 0.997079 0.000463 0.997079 0.000000 0.000000
4731.32 1.012198 0.018900 1.012198 0.000000 0.000000
4736.32 1.003842 0.021372 1.003842 0.000000 0.000000
4741.33 0.999937 0.020480 0.999937 0.000000 0.000000
4746.33 1.006127 0.013388 1.006127 0.000000 0.000000
4751.33 1.011209 0.005428 1.011209 0.000000 0.000000
4756.33 1.009344 0.025954 1.009344 0.000000 0.000000
4761.33 1.007307 0.028663 1.007307 0.000000 0.000000
4766.33 1.004626 0.017150 1.004626 0.000000 0.000000
4771.33 0.992271 0.017196 0.992271 0.000000 0.000000
4776.34 0.985267 0.026419 0.985267 0.000000 0.000000
4781.34 1.006274 0.020191 1.006274 0.000000 0.000000
4786.34 1.031360 0.011888 1.031360 0.000000 0.000000
4791.34 1.035376 0.014741 1.035376 0.000000 0.000000
4796.34 1.020034 0.023906 1.020034 0.000000 0.000000
4801.34 1.001789 0.032258 1.001789 0.000000 0.000000
4806.34 0.983896 0.036200 0.983896 0.000000 0.000000
4811.34 1.002085 0.040061 1.002085 0.000000 0.000000
4816.35 1.016104 0.035040 1.016104 0.000000 0.000000
4821.35 1.023965 0.027355 1.023965 0.000000 0.000000
4826.35 1.014276 0.045154 1.014276 0.000000 0.000000
4831.35 0.998252 0.042268 0.998252 0.000000 0.000000
4836.35 0.981896 0.034130 0.981896 0.000000 0.000000
4841.35 0.969519 0.041403 0.969519 0.000000 0.000000
4846.35 0.978858 0.035203 0.978858 0.000000 0.000000
4851.36 0.974904 0.035161 0.974904 0.000000 0.000000
4856.36 0.946789 0.044110 0.946789 0.000000 0.000000
4861.36 0.911958 0.070276 0.911958 0.000000 0.000000
4866.36 0.888585 0.061409 0.888585 0.000000 0.000000
4871.36 0.888597 0.024131 0.888597 0.000000 0.000000
4876.36 0.887178 0.038190 0.887178 0.000000 0.000000
4881.36 0.924421 0.035190 0.924421 0.000000 0.000000
4886.36 0.943057 0.046591 0.943057 0.000000 0.000000
4891.37 0.950486 0.070149 0.950486 0.000000 0.000000
4896.37 0.985457 0.042074 0.985457 0.000000 0.000000
4901.37 0.994245 0.047031 0.994245 0.000000 0.000000
4906.37 0.997515 0.047395 0.997515 0.000000 0.000000
4911.37 0.983507 0.058765 0.983507 0.000000 0.000000
4916.37 0.975264 0.045971 0.975264 0.000000 0.000000
4921.37 0.937940 0.080543 0.937940 0.000000 0.000000
4926.37 0.956730 0.049036 0.956730 0.000000 0.000000
4931.38 0.971953 0.015795 0.971953 0.000000 0.000000
4936.38 0.954300 0.040344 0.954300 0.000000 0.000000
4941.38 0.959139 0.048797 0.959139 0.000000 0.000000
4946.38 0.994209 0.018461 0.994209 0.000000 0.000000
4951.38 1.002371 0.018502 1.002371 0.000000 0.000000
4956.38 0.999960 0.038712 0.999960 0.000000 0.000000
4961.38 0.999261 0.050297 0.999261 0.000000 0.000000
4966.39 1.007135 0.047370 1.007135 0.000000 0.000000
4971.39 1.003331 0.057718 1.003331 0.000000 0.000000
4976.39 1.005441 0.045107 1.005441 0.000000 0.000000
4981.39 0.971611 0.059084 0.971611 0.000000 0.000000
4986.39 0.963530 0.063527 0.963530 0.000000 0.000000
