# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
4291.21 0.741871 0.048681 0.741871 0.000000 0.000000
4296.21 0.699850 0.047935 0.699850 0.000000 0.000000
4301.21 0.624427 0.054536 0.624427 0.000000 0.000000
4306.21 0.569682 0.040712 0.569682 0.000000 0.000000
4311.21 0.599787 0.033579 0.599787 0.000000 0.000000
4316.21 0.746960 0.039006 0.746960 0.000000 0.000000
4321.21 0.840276 0.059377 0.840276 0.000000 0.000000
4326.22 0.837647 0.062577 0.837647 0.000000 0.000000
4331.22 0.850613 0.030138 0.850613 0.000000 0.000000
4336.22 0.839897 0.042656 0.839897 0.000000 0.000000
4341.22 0.815334 0.038590 0.815334 0.000000 0.000000
4346.22 0.848006 0.013600 0.848006 0.000000 0.000000
4351.22 0.866522 0.020145 0.866522 0.000000 0.000000
4356.22 0.881019 0.025828 0.881019 0.000000 0.000000
4361.23 0.911759 0.026116 0.911759 0.000000 0.000000
4366.23 0.934343 0.018516 0.934343 0.000000 0.000000
4371.23 0.918863 0.035699 0.918863 0.000000 0.000000
4376.23 0.883851 0.045286 0.883851 0.000000 0.000000
4381.23 0.825805 0.053644 0.825805 0.000000 0.000000
4386.23 0.784547 0.050147 0.784547 0.000000 0.000000
4391.23 0.808624 0.038106 0.808624 0.000000 0.000000
4396.23 0.855148 0.018734 0.855148 0.000000 0.000000
4401.24 0.870965 0.032734 0.870965 0.000000 0.000000
4406.24 0.862823 0.045674 0.862823 0.000000 0.000000
4411.24 0.890339 0.014496 0.890339 0.000000 0.000000
4416.24 0.918021 0.011147 0.918021 0.000000 0.000000
4421.24 0.952695 0.016386 0.952695 0.000000 0.000000
4426.24 0.959568 0.026905 0.959568 0.000000 0.000000
4431.24 0.956136 0.036722 0.956136 0.000000 0.000000
4436.25 0.954204 0.047195 0.954204 0.000000 0.000000
4441.25 0.971503 0.040821 0.971503 0.000000 0.000000
4446.25 0.988532 0.040132 0.988532 0.000000 0.000000
4451.25 0.975952 0.049287 0.975952 0.000000 0.000000
4456.25 0.919170 0.058882 0.919170 0.000000 0.000000
4461.25 0.895723 0.044045 0.895723 0.000000 0.000000
4466.25 0.931122 0.022737 0.931122 0.000000 0.000000
4471.25 0.981705 0.020956 0.981705 0.000000 0.000000
4476.26 1.022481 0.024883 1.022481 0.000000 0.000000
4481.26 1.031022 0.042355 1.031022 0.000000 0.000000
4486.26 1.034874 0.044249 1.034874 0.000000 0.000000
4491.26 1.026270 0.048620 1.026270 0.000000 0.000000
