# lk ukf_o5v uks_o5v fh fse fl
# lRMS=0.0004083506647 iRMS=0.0004083506938 0
# 
4821.35 1.733929 0.055598 1.733929 0.000000 0.000000
4826.35 1.728627 0.057733 1.728627 0.000000 0.000000
4831.35 1.727700 0.067621 1.727700 0.000000 0.000000
4836.35 1.723498 0.072131 1.723498 0.000000 0.000000
4841.35 1.719507 0.077057 1.719507 0.000000 0.000000
4846.35 1.694735 0.076051 1.694735 0.000000 0.000000
4851.36 1.634978 0.078026 1.634978 0.000000 0.000000
4856.36 1.501500 0.070714 1.501500 0.000000 0.000000
4861.36 1.382087 0.045314 1.382087 0.000000 0.000000
4866.36 1.457954 0.035015 1.457954 0.000000 0.000000
4871.36 1.571613 0.043272 1.571613 0.000000 0.000000
4876.36 1.605421 0.052433 1.605421 0.000000 0.000000
4881.36 1.610805 0.061531 1.610805 0.000000 0.000000
4886.36 1.616123 0.064582 1.616123 0.000000 0.000000
4891.37 1.619858 0.065129 1.619858 0.000000 0.000000
4896.37 1.618274 0.061558 1.618274 0.000000 0.000000
4901.37 1.615890 0.066776 1.615890 0.000000 0.000000
4906.37 1.621166 0.074772 1.621166 0.000000 0.000000
4911.37 1.619439 0.076741 1.619439 0.000000 0.000000
4916.37 1.611475 0.078026 1.611475 0.000000 0.000000
4921.37 1.587395 0.068826 1.587395 0.000000 0.000000
4926.37 1.594559 0.074317 1.594559 0.000000 0.000000
4931.38 1.608176 0.082783 1.608176 0.000000 0.000000
4936.38 1.600916 0.075247 1.600916 0.000000 0.000000
4941.38 1.587463 0.068043 1.587463 0.000000 0.000000
4946.38 1.582775 0.070317 1.582775 0.000000 0.000000
4951.38 1.580435 0.073965 1.580435 0.000000 0.000000
4956.38 1.575225 0.074591 1.575225 0.000000 0.000000
4961.38 1.573141 0.082314 1.573141 0.000000 0.000000
4966.39 1.561011 0.079177 1.561011 0.000000 0.000000
4971.39 1.544183 0.065873 1.544183 0.000000 0.000000
4976.39 1.535783 0.063182 1.535783 0.000000 0.000000
4981.39 1.522823 0.056303 1.522823 0.000000 0.000000
4986.39 1.530253 0.067797 1.530253 0.000000 0.000000
4991.39 1.529029 0.070544 1.529029 0.000000 0.000000
4996.39 1.524927 0.073419 1.524927 0.000000 0.000000
5001.39 1.521316 0.071794 1.521316 0.000000 0.000000
5006.40 1.507041 0.064600 1.507041 0.000000 0.000000
5011.40 1.488407 0.055337 1.488407 0.000000 0.000000
5016.40 1.470268 0.049986 1.470268 0.000000 0.000000
5021.40 1.470656 0.057378 1.470656 0.000000 0.000000
5026.40 1.468634 0.054703 1.468634 0.000000 0.000000
5031.40 1.460164 0.050079 1.460164 0.000000 0.000000
5036.40 1.458620 0.051412 1.458620 0.000000 0.000000
5041.41 1.455726 0.057272 1.455726 0.000000 0.000000
5046.41 1.449439 0.056662 1.449439 0.000000 0.000000
5051.41 1.443154 0.055769 1.443154 0.000000 0.000000
5056.41 1.440408 0.051672 1.440408 0.000000 0.000000
5061.41 1.435246 0.053452 1.435246 0.000000 0.000000
5066.41 1.432580 0.054956 1.432580 0.000000 0.000000
5071.41 1.432368 0.055587 1.432368 0.000000 0.000000
5076.41 1.431692 0.062894 1.431692 0.000000 0.000000
5081.42 1.428548 0.062956 1.428548 0.000000 0.000000
5086.42 1.422792 0.058226 1.422792 0.000000 0.000000
5091.42 1.417030 0.059130 1.417030 0.000000 0.000000
5096.42 1.406642 0.055532 1.406642 0.000000 0.000000
5101.42 1.405829 0.059046 1.405829 0.000000 0.000000
5106.42 1.394181 0.055029 1.394181 0.000000 0.000000
5111.42 1.383517 0.049819 1.383517 0.000000 0.000000
5116.43 1.379383 0.044712 1.379383 0.000000 0.000000
5121.43 1.373877 0.044652 1.373877 0.000000 0.000000
5126.43 1.371288 0.045105 1.371288 0.000000 0.000000
5131.43 1.370308 0.049022 1.370308 0.000000 0.000000
5136.43 1.365723 0.050169 1.365723 0.000000 0.000000
5141.43 1.361532 0.051951 1.361532 0.000000 0.000000
5146.43 1.356145 0.051925 1.356145 0.000000 0.000000
5151.43 1.349294 0.048878 1.349294 0.000000 0.000000
5156.44 1.344162 0.049774 1.344162 0.000000 0.000000
5161.44 1.340673 0.052207 1.340673 0.000000 0.000000
5166.44 1.333722 0.047235 1.333722 0.000000 0.000000
5171.44 1.328486 0.047821 1.328486 0.000000 0.000000
5176.44 1.328736 0.050239 1.328736 0.000000 0.000000
5181.44 1.323181 0.048910 1.323181 0.000000 0.000000
5186.44 1.315930 0.044835 1.315930 0.000000 0.000000
5191.45 1.307836 0.041687 1.307836 0.000000 0.000000
5196.45 1.308233 0.048988 1.308233 0.000000 0.000000
5201.45 1.298663 0.045493 1.298663 0.000000 0.000000
5206.45 1.287448 0.039954 1.287448 0.000000 0.000000
5211.45 1.290102 0.042242 1.290102 0.000000 0.000000
5216.45 1.288460 0.045258 1.288460 0.000000 0.000000
5221.45 1.280389 0.041245 1.280389 0.000000 0.000000
5226.45 1.273036 0.037722 1.273036 0.000000 0.000000
5231.46 1.265580 0.032598 1.265580 0.000000 0.000000
5236.46 1.260703 0.032764 1.260703 0.000000 0.000000
5241.46 1.255359 0.033535 1.255359 0.000000 0.000000
5246.46 1.255282 0.038005 1.255282 0.000000 0.000000
5251.46 1.245590 0.034568 1.245590 0.000000 0.000000
5256.46 1.249312 0.040620 1.249312 0.000000 0.000000
5261.46 1.248238 0.040688 1.248238 0.000000 0.000000
5266.47 1.235956 0.032410 1.235956 0.000000 0.000000
5271.47 1.227798 0.026388 1.227798 0.000000 0.000000
5276.47 1.227248 0.027290 1.227248 0.000000 0.000000
5281.47 1.221089 0.029034 1.221089 0.000000 0.000000
