# lk ukf_rk0v uks_rk0v fh fse fl fd fk fh_1
# lRMS=0.004504811484 iRMS=0.0003877604031 0
4406.24 0.792886 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4411.24 0.800428 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4416.24 0.841648 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4421.24 0.878526 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4426.24 0.888364 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4431.24 0.879259 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4436.25 0.872715 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4441.25 0.894118 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4446.25 0.941086 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4451.25 0.946140 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4456.25 0.868329 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4461.25 0.813125 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4466.25 0.861706 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4471.25 0.942319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4476.26 0.979318 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4481.26 0.979084 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4486.26 0.979426 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4491.26 0.982668 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4496.26 0.986997 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4501.26 1.004776 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4506.26 1.054110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
