# lk ukf_k4iii uks_k4iii fh fse fl fd
# iRMS=0.0005858743098 0
# 
4596.29 0.593699 0.000000 0.593699 0.000000 0.000000 0.000000
4601.29 0.609171 0.000000 0.609171 0.000000 0.000000 0.000000
4606.29 0.632685 0.025319 0.632685 0.000000 0.000000 0.000000
4611.29 0.670806 0.028541 0.670806 0.000000 0.000000 0.000000
4616.29 0.693625 0.018240 0.693625 0.000000 0.000000 0.000000
4621.29 0.709025 0.013878 0.709025 0.000000 0.000000 0.000000
4626.30 0.705835 0.007438 0.705835 0.000000 0.000000 0.000000
4631.30 0.690412 0.003812 0.690412 0.000000 0.000000 0.000000
4636.30 0.659061 0.008083 0.659061 0.000000 0.000000 0.000000
4641.30 0.632583 0.013816 0.632583 0.000000 0.000000 0.000000
4646.30 0.614164 0.017737 0.614164 0.000000 0.000000 0.000000
4651.30 0.628310 0.002895 0.628310 0.000000 0.000000 0.000000
4656.30 0.653423 0.024291 0.653423 0.000000 0.000000 0.000000
4661.30 0.671712 0.031812 0.671712 0.000000 0.000000 0.000000
4666.31 0.634580 0.021435 0.634580 0.000000 0.000000 0.000000
4671.31 0.642353 0.017567 0.642353 0.000000 0.000000 0.000000
4676.31 0.660398 0.005554 0.660398 0.000000 0.000000 0.000000
4681.31 0.654202 0.005121 0.654202 0.000000 0.000000 0.000000
4686.31 0.650505 0.005211 0.650505 0.000000 0.000000 0.000000
4691.31 0.651422 0.004555 0.651422 0.000000 0.000000 0.000000
4696.31 0.661102 0.008152 0.661102 0.000000 0.000000 0.000000
4701.32 0.649445 0.014392 0.649445 0.000000 0.000000 0.000000
4706.32 0.654350 0.017404 0.654350 0.000000 0.000000 0.000000
4711.32 0.662795 0.013921 0.662795 0.000000 0.000000 0.000000
4716.32 0.677106 0.001649 0.677106 0.000000 0.000000 0.000000
4721.32 0.695360 0.016351 0.695360 0.000000 0.000000 0.000000
4726.32 0.684222 0.002052 0.684222 0.000000 0.000000 0.000000
4731.32 0.655245 0.032427 0.655245 0.000000 0.000000 0.000000
4736.32 0.679265 0.009157 0.679265 0.000000 0.000000 0.000000
4741.33 0.697996 0.005690 0.697996 0.000000 0.000000 0.000000
4746.33 0.709376 0.010184 0.709376 0.000000 0.000000 0.000000
4751.33 0.715059 0.008497 0.715059 0.000000 0.000000 0.000000
4756.33 0.710902 0.000863 0.710902 0.000000 0.000000 0.000000
4761.33 0.703521 0.008431 0.703521 0.000000 0.000000 0.000000
4766.33 0.685191 0.023569 0.685191 0.000000 0.000000 0.000000
4771.33 0.692401 0.008290 0.692401 0.000000 0.000000 0.000000
4776.34 0.711162 0.018840 0.711162 0.000000 0.000000 0.000000
4781.34 0.704787 0.015258 0.704787 0.000000 0.000000 0.000000
4786.34 0.689136 0.001881 0.689136 0.000000 0.000000 0.000000
4791.34 0.705224 0.012432 0.705224 0.000000 0.000000 0.000000
4796.34 0.724503 0.024854 0.724503 0.000000 0.000000 0.000000
4801.34 0.727938 0.013607 0.727938 0.000000 0.000000 0.000000
4806.34 0.735509 0.003831 0.735509 0.000000 0.000000 0.000000
4811.34 0.741087 0.005128 0.741087 0.000000 0.000000 0.000000
4816.35 0.751474 0.000273 0.751474 0.000000 0.000000 0.000000
4821.35 0.748713 0.000386 0.748713 0.000000 0.000000 0.000000
4826.35 0.738463 0.004049 0.738463 0.000000 0.000000 0.000000
4831.35 0.731904 0.009925 0.731904 0.000000 0.000000 0.000000
4836.35 0.738980 0.010610 0.738980 0.000000 0.000000 0.000000
4841.35 0.741567 0.021446 0.741567 0.000000 0.000000 0.000000
4846.35 0.751878 0.017270 0.751878 0.000000 0.000000 0.000000
4851.36 0.749315 0.011497 0.749315 0.000000 0.000000 0.000000
4856.36 0.721628 0.018489 0.721628 0.000000 0.000000 0.000000
4861.36 0.690071 0.026507 0.690071 0.000000 0.000000 0.000000
4866.36 0.684774 0.016505 0.684774 0.000000 0.000000 0.000000
4871.36 0.688839 0.014049 0.688839 0.000000 0.000000 0.000000
