# lk ukf_k1iv uks_k1iv fh fse fl
# iRMS=0.0001062268711 0
# 
4576.28 0.868649 0.000000 0.868649 0.000000 0.000000
4581.28 0.871886 0.000000 0.871886 0.000000 0.000000
4586.28 0.865917 0.000000 0.865917 0.000000 0.000000
4591.29 0.860215 0.000000 0.860215 0.000000 0.000000
4596.29 0.865807 0.000000 0.865807 0.000000 0.000000
4601.29 0.881119 0.000000 0.881119 0.000000 0.000000
4606.29 0.900857 0.000000 0.900857 0.000000 0.000000
4611.29 0.917440 0.000000 0.917440 0.000000 0.000000
4616.29 0.924367 0.000000 0.924367 0.000000 0.000000
4621.29 0.921739 0.000000 0.921739 0.000000 0.000000
4626.30 0.911770 0.000000 0.911770 0.000000 0.000000
4631.30 0.898533 0.000000 0.898533 0.000000 0.000000
4636.30 0.886314 0.000000 0.886314 0.000000 0.000000
4641.30 0.878406 0.000000 0.878406 0.000000 0.000000
4646.30 0.876739 0.000000 0.876739 0.000000 0.000000
4651.30 0.878795 0.000000 0.878795 0.000000 0.000000
4656.30 0.880850 0.000000 0.880850 0.000000 0.000000
4661.30 0.878804 0.000000 0.878804 0.000000 0.000000
4666.31 0.871242 0.000000 0.871242 0.000000 0.000000
4671.31 0.867838 0.000000 0.867838 0.000000 0.000000
4676.31 0.876607 0.000000 0.876607 0.000000 0.000000
4681.31 0.887831 0.000000 0.887831 0.000000 0.000000
4686.31 0.890251 0.000000 0.890251 0.000000 0.000000
4691.31 0.884176 0.000000 0.884176 0.000000 0.000000
4696.31 0.874467 0.000000 0.874467 0.000000 0.000000
4701.32 0.872645 0.000000 0.872645 0.000000 0.000000
4706.32 0.887083 0.000000 0.887083 0.000000 0.000000
4711.32 0.906912 0.000000 0.906912 0.000000 0.000000
4716.32 0.919056 0.000000 0.919056 0.000000 0.000000
4721.32 0.920846 0.000000 0.920846 0.000000 0.000000
4726.32 0.914712 0.000000 0.914712 0.000000 0.000000
4731.32 0.913078 0.000000 0.913078 0.000000 0.000000
4736.32 0.925617 0.000000 0.925617 0.000000 0.000000
4741.33 0.941015 0.000000 0.941015 0.000000 0.000000
4746.33 0.945911 0.000000 0.945911 0.000000 0.000000
4751.33 0.939770 0.000000 0.939770 0.000000 0.000000
4756.33 0.927371 0.000000 0.927371 0.000000 0.000000
4761.33 0.921913 0.000000 0.921913 0.000000 0.000000
4766.33 0.933205 0.000000 0.933205 0.000000 0.000000
4771.33 0.949048 0.000000 0.949048 0.000000 0.000000
4776.34 0.955771 0.000000 0.955771 0.000000 0.000000
4781.34 0.955807 0.000000 0.955807 0.000000 0.000000
4786.34 0.954954 0.000000 0.954954 0.000000 0.000000
4791.34 0.956371 0.000000 0.956371 0.000000 0.000000
4796.34 0.961401 0.000000 0.961401 0.000000 0.000000
4801.34 0.966790 0.000000 0.966790 0.000000 0.000000
4806.34 0.969270 0.000000 0.969270 0.000000 0.000000
4811.34 0.970141 0.000000 0.970141 0.000000 0.000000
4816.35 0.970391 0.000000 0.970391 0.000000 0.000000
4821.35 0.965219 0.000000 0.965219 0.000000 0.000000
4826.35 0.951722 0.000000 0.951722 0.000000 0.000000
4831.35 0.940403 0.000000 0.940403 0.000000 0.000000
4836.35 0.939823 0.000000 0.939823 0.000000 0.000000
4841.35 0.937362 0.000000 0.937362 0.000000 0.000000
4846.35 0.920069 0.000000 0.920069 0.000000 0.000000
4851.36 0.894824 0.000000 0.894824 0.000000 0.000000
4856.36 0.873679 0.000000 0.873679 0.000000 0.000000
4861.36 0.869528 0.000000 0.869528 0.000000 0.000000
4866.36 0.888942 0.000000 0.888942 0.000000 0.000000
4871.36 0.912358 0.000000 0.912358 0.000000 0.000000
4876.36 0.920469 0.000000 0.920469 0.000000 0.000000
4881.36 0.921110 0.000000 0.921110 0.000000 0.000000
