# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
4421.24 0.662698 0.048848 0.662698 0.000000 0.000000
4426.24 0.656379 0.031556 0.656379 0.000000 0.000000
4431.24 0.651047 0.027268 0.651047 0.000000 0.000000
4436.25 0.658049 0.032314 0.658049 0.000000 0.000000
4441.25 0.695138 0.040948 0.695138 0.000000 0.000000
4446.25 0.731005 0.024119 0.731005 0.000000 0.000000
4451.25 0.713039 0.012797 0.713039 0.000000 0.000000
4456.25 0.640082 0.031770 0.640082 0.000000 0.000000
4461.25 0.618717 0.065513 0.618717 0.000000 0.000000
4466.25 0.678836 0.074075 0.678836 0.000000 0.000000
4471.25 0.750818 0.056891 0.750818 0.000000 0.000000
4476.26 0.791183 0.036329 0.791183 0.000000 0.000000
4481.26 0.800466 0.018753 0.800466 0.000000 0.000000
4486.26 0.818424 0.026965 0.818424 0.000000 0.000000
4491.26 0.810147 0.017914 0.810147 0.000000 0.000000
4496.26 0.802557 0.024957 0.802557 0.000000 0.000000
4501.26 0.838938 0.054345 0.838938 0.000000 0.000000
4506.26 0.881752 0.040818 0.881752 0.000000 0.000000
4511.27 0.903919 0.024195 0.903919 0.000000 0.000000
4516.27 0.898732 0.033139 0.898732 0.000000 0.000000
4521.27 0.860517 0.022855 0.860517 0.000000 0.000000
4526.27 0.774056 0.033230 0.774056 0.000000 0.000000
4531.27 0.710648 0.035671 0.710648 0.000000 0.000000
4536.27 0.733714 0.038016 0.733714 0.000000 0.000000
4541.27 0.784249 0.045290 0.784249 0.000000 0.000000
4546.27 0.806197 0.020597 0.806197 0.000000 0.000000
4551.28 0.831141 0.032449 0.831141 0.000000 0.000000
4556.28 0.870653 0.033038 0.870653 0.000000 0.000000
4561.28 0.896202 0.026343 0.896202 0.000000 0.000000
4566.28 0.901661 0.018691 0.901661 0.000000 0.000000
4571.28 0.898451 0.018392 0.898451 0.000000 0.000000
4576.28 0.896068 0.026473 0.896068 0.000000 0.000000
4581.28 0.881051 0.026113 0.881051 0.000000 0.000000
4586.28 0.891340 0.021871 0.891340 0.000000 0.000000
4591.29 0.890557 0.018456 0.890557 0.000000 0.000000
4596.29 0.879043 0.020712 0.879043 0.000000 0.000000
4601.29 0.874614 0.026117 0.874614 0.000000 0.000000
4606.29 0.895483 0.036403 0.895483 0.000000 0.000000
4611.29 0.918027 0.034936 0.918027 0.000000 0.000000
4616.29 0.926754 0.021126 0.926754 0.000000 0.000000
4621.29 0.937002 0.023214 0.937002 0.000000 0.000000
4626.30 0.948657 0.023790 0.948657 0.000000 0.000000
4631.30 0.941177 0.013838 0.941177 0.000000 0.000000
4636.30 0.915067 0.005128 0.915067 0.000000 0.000000
4641.30 0.894401 0.009561 0.894401 0.000000 0.000000
4646.30 0.867998 0.016316 0.867998 0.000000 0.000000
4651.30 0.864397 0.019367 0.864397 0.000000 0.000000
