# lk ukf_b8i uks_b8i fh fl fse
# iRMS=3.217178892e-05 0
# 
3320.96 2.046218 0.000000 2.046218 0.000000 0.000000
3325.96 2.063184 0.000000 2.063184 0.000000 0.000000
3330.96 2.070078 0.000000 2.070078 0.000000 0.000000
3335.96 2.064422 0.000000 2.064422 0.000000 0.000000
3340.96 2.055541 0.000000 2.055541 0.000000 0.000000
3345.96 2.053987 0.000000 2.053987 0.000000 0.000000
3350.96 2.063420 0.000000 2.063420 0.000000 0.000000
3355.96 2.080163 0.000000 2.080163 0.000000 0.000000
3360.97 2.078106 0.000000 2.078106 0.000000 0.000000
3365.97 2.039058 0.000000 2.039058 0.000000 0.000000
3370.97 1.998947 0.000000 1.998947 0.000000 0.000000
3375.97 1.992407 0.000000 1.992407 0.000000 0.000000
3380.97 1.994784 0.000000 1.994784 0.000000 0.000000
3385.97 1.979557 0.000000 1.979557 0.000000 0.000000
3390.97 1.972023 0.000000 1.972023 0.000000 0.000000
3395.97 1.997945 0.000000 1.997945 0.000000 0.000000
3400.98 2.033145 0.000000 2.033145 0.000000 0.000000
3405.98 2.049570 0.000000 2.049570 0.000000 0.000000
3410.98 2.053621 0.000000 2.053621 0.000000 0.000000
3415.98 2.055675 0.000000 2.055675 0.000000 0.000000
3420.98 2.047553 0.000000 2.047553 0.000000 0.000000
3425.98 2.023041 0.000000 2.023041 0.000000 0.000000
3430.98 2.002344 0.000000 2.002344 0.000000 0.000000
3435.98 2.003989 0.000000 2.003989 0.000000 0.000000
3440.99 2.013376 0.000000 2.013376 0.000000 0.000000
3445.99 2.014256 0.000000 2.014256 0.000000 0.000000
3450.99 2.016907 0.000000 2.016907 0.000000 0.000000
3455.99 2.030464 0.000000 2.030464 0.000000 0.000000
3460.99 2.032945 0.000000 2.032945 0.000000 0.000000
3465.99 2.007100 0.000000 2.007100 0.000000 0.000000
3470.99 1.985718 0.000000 1.985718 0.000000 0.000000
3475.99 1.998174 0.000000 1.998174 0.000000 0.000000
3481.00 2.010143 0.000000 2.010143 0.000000 0.000000
3486.00 1.988236 0.000000 1.988236 0.000000 0.000000
3491.00 1.966487 0.000000 1.966487 0.000000 0.000000
3496.00 1.979759 0.000000 1.979759 0.000000 0.000000
3501.00 1.998793 0.000000 1.998793 0.000000 0.000000
3506.00 1.991259 0.000000 1.991259 0.000000 0.000000
3511.00 1.975063 0.001783 1.975063 0.000000 0.000000
3516.01 1.976298 0.001953 1.976298 0.000000 0.000000
3521.01 1.962129 0.020960 1.962129 0.000000 0.000000
3526.01 1.964466 0.002521 1.964466 0.000000 0.000000
3531.01 1.941530 0.010054 1.941530 0.000000 0.000000
3536.01 1.946695 0.001381 1.946695 0.000000 0.000000
3541.01 1.934584 0.008643 1.934584 0.000000 0.000000
3546.01 1.930847 0.001381 1.930847 0.000000 0.000000
3551.01 1.933857 0.013053 1.933857 0.000000 0.000000
3556.02 1.910651 0.026240 1.910651 0.000000 0.000000
